iter	Passed	Remaining
315	4916	10642
316	4931	10624
317	4945	10606
318	4960	10589
319	4974	10571
320	4989	10553
321	5003	10534
322	5016	10515
323	5029	10494
324	5045	10478
325	5058	10457
326	5071	10436
327	5085	10418
328	5099	10399
329	5112	10379
330	5125	10359
331	5138	10339
332	5152	10319
333	5165	10300
334	5179	10282
335	5193	10264
336	5207	10244
337	5220	10225
338	5234	10206
339	5248	10188
340	5263	10171
341	5278	10155
342	5293	10140
343	5308	10123
344	5321	10103
345	5336	10086
346	5350	10068
347	5364	10051
348	5381	10038
349	5399	10026
350	5415	10013
351	5433	10003
352	5449	9988
353	5470	9983
354	5489	9973
355	5505	9958
356	5521	9944
357	5538	9931
358	5554	9917
359	5571	9905
360	5587	9891
361	5605	9879
362	5620	9862
363	5635	9846
364	5651	9831
365	5666	9815
366	5681	9799
367	5696	9782
368	5710	9765
369	5725	9748
370	5739	9731
371	5755	9716
372	5769	9698
373	5785	9682
374	5800	9667
375	5815	9651
376	5831	9637
377	5846	9619
378	5861	9604
379	5877	9590
380	5892	9573
381	5906	9555
382	5920	9538
383	5933	9519
384	5947	9500
385	5961	9482
386	5974	9463
387	5988	9445
388	6003	9429
389	6018	9413
390	6034	9399
391	6105	9469
392	6130	9469
393	6159	9474
394	6173	9455
395	6186	9435
396	6200	9417
397	6213	9398
398	6228	9381
399	6242	9363
400	6256	9345
401	6270	9327
402	6284	9310
403	6298	9292
404	6312	9273
405	6325	9254
406	6339	9236
407	6352	9217
408	6368	9202
409	6382	9184
410	6397	9168
411	6412	9152
412	6428	9137
413	6445	9123
414	6461	9108
415	6475	9090
416	6490	9074
417	6505	9057
418	6519	9040
419	6533	9022
420	6547	9004
421	6561	8987
422	6576	8970
423	6591	8954
424	6605	8937
425	6621	8921
426	6634	8903
427	6649	8886
428	6664	8870
429	6679	8854
430	6694	8838
431	6710	8822
432	6724	8804
433	6738	8787
434	6753	8771
435	6767	8754
436	6784	8741
437	6799	8724
438	6815	8709
439	6828	8691
440	6841	8672
441	6854	8653
442	6868	8635
443	6881	8617
444	6893	8597
445	6906	8578
446	6919	8560
447	6932	8541
448	6945	8523
449	6958	8505
450	6972	8487
451	6984	8468
452	6998	8450
453	7011	8432
454	7025	8414
455	7038	8396
456	7051	8377
457	7064	8360
458	7077	8342
459	7090	8323
460	7104	8306
461	7117	8288
462	7131	8271
463	7146	8255
464	7159	8237
465	7173	8219
466	7186	8201
467	7199	8183
468	7212	8165
469	7225	8147
470	7238	8130
471	7252	8112
472	7265	8095
473	7279	8077
474	7291	8058
475	7304	8041
476	7318	8023
477	7331	8006
478	7344	7988
479	7358	7971
480	7371	7953
481	7384	7936
482	7398	7918
483	7411	7901
484	7423	7883
485	7437	7865
486	7450	7848
487	7463	7831
488	7476	7813
489	7489	7795
490	7502	7777
491	7515	7760
492	7529	7742
493	7543	7726
494	7557	7709
495	7570	7692
496	7583	7674
497	7596	7657
498	7609	7640
499	7622	7622
500	7635	7605
501	7649	7588
502	7663	7571
503	7676	7554
504	7688	7536
505	7703	7520
506	7716	7503
507	7730	7487
508	7743	7469
509	7757	7453
510	7771	7436
511	7784	7419
512	7798	7403
513	7811	7385
514	7824	7368
515	7837	7351
516	7850	7334
517	7863	7317
518	7876	7300
519	7890	7283
520	7903	7266
521	7915	7248
522	7930	7232
523	7943	7215
524	7956	7198
525	7969	7181
526	7982	7164
527	7995	7147
528	8009	7131
529	8022	7114
530	8035	7096
531	8048	7079
532	8060	7062
533	8073	7045
534	8086	7028
535	8100	7012
536	8113	6995
537	8126	6978
538	8140	6962
539	8152	6944
540	8165	6927
541	8179	6912
542	8192	6895
543	8205	6878
544	8218	6861
545	8231	6844
546	8245	6828
547	8258	6812
548	8272	6795
549	8285	6779
550	8299	6762
551	8312	6746
552	8326	6730
553	8339	6714
554	8353	6697
555	8366	6681
556	8379	6664
557	8392	6647
558	8405	6631
559	8418	6614
560	8431	6598
561	8447	6583
562	8460	6567
563	8474	6550
564	8487	6534
565	8500	6517
566	8513	6501
567	8526	6484
568	8539	6468
569	8553	6452
570	8566	6435
571	8580	6420
572	8593	6404
573	8607	6387
574	8621	6372
575	8635	6356
576	8649	6340
577	8664	6325
578	8678	6310
579	8692	6294
580	8707	6279
581	8721	6264
582	8736	6249
583	8753	6235
584	8770	6221
585	8785	6207
586	8801	6192
587	8817	6178
588	8832	6163
589	8849	6149
590	8864	6134
591	8882	6121
592	8909	6115
593	8930	6103
594	8956	6096
595	8985	6090
596	9004	6078
597	9023	6066
598	9045	6055
599	9061	6041
600	9077	6026
601	9092	6011
602	9107	5996
603	9122	5980
604	9136	5965
605	9152	5950
606	9168	5936
607	9185	5921
608	9201	5907
609	9217	5893
610	9234	5879
611	9251	5865
612	9270	5852
613	9294	5843
614	9321	5835
615	9356	5832
616	9380	5822
617	9402	5812
618	9426	5802
619	9447	5790
620	9471	5780
621	9492	5768
622	9513	5756
623	9533	5744
624	9555	5733
625	9575	5720
626	9595	5708
627	9614	5695
628	9638	5684
629	9660	5673
630	9683	5662
631	9708	5653
632	9728	5640
633	9749	5628
634	9771	5616
635	9792	5604
636	9818	5595
637	9840	5583
638	9864	5572
639	9885	5560
640	9906	5548
641	9930	5537
642	9950	5524
643	9971	5512
644	9991	5499
645	10016	5489
646	10035	5475
647	10058	5463
648	10085	5454
649	10107	5442
650	10132	5432
651	10153	5419
652	10173	5406
653	10190	5391
654	10205	5375
655	10220	5359
656	10235	5343
657	10251	5328
658	10265	5311
659	10280	5296
660	10295	5280
661	10318	5268
662	10337	5254
663	10363	5244
664	10390	5234
665	10411	5221
666	10439	5212
667	10460	5199
668	10487	5189
669	10506	5174
670	10531	5163
671	10553	5151
672	10579	5140
673	10602	5128
674	10624	5115
675	10644	5101
676	10665	5088
677	10691	5077
678	10712	5064
679	10739	5053
680	10761	5041
681	10790	5031
682	10813	5018
683	10834	5005
684	10850	4989
685	10864	4973
686	10881	4957
687	10896	4941
688	10910	4924
689	10926	4908
690	10941	4892
691	10960	4878
692	10985	4866
693	11014	4856
694	11043	4846
695	11071	4835
696	11093	4822
697	11120	4811
698	11141	4797
699	11167	4786
700	11186	4771
701	11202	4755
702	11223	4741
703	11248	4729
704	11270	4715
705	11293	4703
706	11315	4689
707	11337	4675
708	11362	4663
709	11384	4650
710	11407	4636
711	11428	4622
712	11448	4608
713	11468	4593
714	11490	4580
715	11511	4566
716	11532	4552
717	11552	4537
718	11577	4524
719	11601	4511
720	11624	4498
721	11646	4484
722	11663	4468
723	11677	4451
724	11691	4434
725	11708	4418
726	11723	4402
727	11737	4385
728	11752	4369
729	11768	4352
730	11787	4337
731	11805	4322
732	11827	4308
733	11851	4295
734	11867	4278
735	11886	4263
736	11905	4248
737	11923	4233
738	11940	4217
739	11953	4199
740	11968	4183
741	11982	4166
742	11996	4149
743	12048	4145
744	12095	4140
745	12118	4126
746	12139	4111
747	12155	4095
748	12173	4079
749	12206	4068
750	12225	4053
751	12244	4038
752	12265	4023
753	12284	4007
754	12304	3992
755	12324	3977
756	12343	3962
757	12359	3945
758	12379	3930
759	12395	3914
760	12414	3898
761	12431	3882
762	12450	3867
763	12469	3851
764	12489	3836
765	12510	3821
766	12530	3806
767	12553	3792
768	12573	3777
769	12599	3763
770	12618	3747
771	12642	3733
772	12662	3718
773	12686	3704
774	12714	3691
775	12738	3677
776	12764	3663
777	12790	3649
778	12814	3635
779	12843	3622
780	12864	3607
781	12883	3591
782	12904	3576
783	12925	3561
784	12945	3545
785	12963	3529
786	12984	3514
787	12999	3497
788	13019	3481
789	13034	3464
790	13049	3447
791	13062	3430
792	13077	3413
793	13091	3396
794	13106	3379
795	13121	3362
796	13135	3345
797	13150	3328
798	13164	3311
799	13178	3294
800	13194	3277
801	13208	3260
802	13223	3244
803	13238	3227
804	13252	3210
805	13265	3192
806	13280	3176
807	13294	3159
808	13308	3142
809	13323	3125
810	13338	3108
811	13353	3091
812	13367	3074
813	13382	3057
814	13397	3041
815	13412	3024
816	13426	3007
817	13441	2990
818	13455	2973
819	13469	2956
820	13483	2939
821	13497	2922
822	13511	2905
823	13526	2889
824	13541	2872
825	13555	2855
826	13575	2839
827	13592	2823
828	13607	2806
829	13622	2790
830	13638	2773
831	13654	2757
832	13668	2740
833	13685	2724
834	13700	2707
835	13714	2690
836	13729	2673
837	13744	2657
838	13762	2640
839	13778	2624
840	13793	2607
841	13808	2591
842	13823	2574
843	13837	2557
844	13853	2541
845	13868	2524
846	13882	2507
847	13897	2491
848	13912	2474
849	13927	2457
850	13943	2441
851	13957	2424
852	13972	2407
853	13988	2391
854	14002	2374
855	14016	2357
856	14031	2341
857	14045	2324
858	14059	2307
859	14074	2291
860	14089	2274
861	14103	2257
862	14118	2241
863	14138	2225
864	14154	2209
865	14169	2192
866	14183	2175
867	14198	2159
868	14213	2142
869	14228	2126
870	14242	2109
871	14260	2093
872	14275	2076
873	14289	2060
874	14303	2043
875	14318	2026
876	14333	2010
877	14348	1993
878	14361	1977
879	14375	1960
880	14389	1943
881	14405	1927
882	14418	1910
883	14434	1894
884	14448	1877
885	14462	1860
886	14476	1844
887	14491	1827
888	14506	1811
889	14520	1794
890	14535	1778
891	14550	1761
892	14564	1745
893	14579	1728
894	14594	1712
895	14609	1695
896	14625	1679
897	14642	1663
898	14659	1646
899	14675	1630
900	14690	1614
901	14705	1597
902	14720	1581
903	14734	1564
904	14748	1548
905	14763	1531
906	14778	1515
907	14795	1499
908	14810	1482
909	14824	1466
910	14840	1449
911	14859	1433
912	14875	1417
913	14892	1401
914	14906	1384
915	14924	1368
916	14940	1352
917	14955	1335
918	14969	1319
919	14984	1303
920	14999	1286
921	15015	1270
922	15031	1254
923	15050	1237
924	15068	1221
925	15083	1205
926	15098	1188
927	15116	1172
928	15134	1156
929	15151	1140
930	15168	1124
931	15189	1108
932	15208	1092
933	15223	1075
934	15240	1059
935	15262	1043
936	15280	1027
937	15301	1011
938	15317	995
939	15333	978
940	15348	962
941	15363	945
942	15381	929
943	15396	913
944	15411	896
945	15432	880
946	15449	864
947	15467	848
948	15484	832
949	15503	815
950	15520	799
951	15538	783
952	15554	767
953	15569	750
954	15585	734
955	15599	717
956	15615	701
957	15630	685
958	15646	668
959	15661	652
960	15681	636
961	15698	620
962	15718	603
963	15740	587
964	15759	571
965	15779	555
966	15795	539
967	15810	522
968	15825	506
969	15847	490
970	15865	473
971	15886	457
972	15908	441
973	15928	425
974	15948	408
975	15972	392
976	15996	376
977	16015	360
978	16035	343
979	16053	327
980	16076	311
981	16097	295
982	16120	278
983	16141	262
984	16165	246
985	16195	229
986	16220	213
987	16243	197
988	16264	180
989	16288	164
990	16311	148
991	16337	131
992	16361	115
993	16387	98
994	16410	82
995	16430	65
996	16452	49
997	16472	33
998	16494	16
999	16523	0
